phrase,target
Swedbank 's shares have been hardest hit of the Swedish banks by the ongoing international financial crisis,negative
A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members,negative
Kone shares dropped 4.1 percent to  x20ac 43 US$ 55.77 in Helsinki,negative
"Tallink Silja attributes the significant drop to problems with the booking system that was taken into operation in October , the sale of trailer ferry ` Sky Wind ' and the route between Stockholm and Riga , which has won passengers from the Helsinki-Stockholm route",negative
"`` Adjustment to the fall in price level , in contrast , has been less effective",negative
17 March 2011 - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term,negative
Finnair believes the strike will cause it daily net losses in excess of EUR 2mn due to canceled reservations and passenger re-routing,negative
"HELSINKI Thomson Financial - Shares closed little changed , with Cargotec and Huhtamaki dropping sharply on disappointing second-quarter reports",negative
"The group 's operating loss was EUR 0.8 mn , down from a profit of EUR 2.5 mn in 2004",negative
"It generated an operating loss of EUR 96.3 mn , down from a profit of EUR 43.9 mn",negative
"Budapest , August 10 MTI - Finnish electronics maker Elcoteq will lay off 700 workers at its plants in Pecs S Hungary at the end of September because of falling orders , communications director for Elcoteq 's local unit , Zoltan Krippl told MTI on Monday",negative
"Finnair 's Tallinn-based subsidiary , Aero AS , carried 23,335 passengers , a decline of 60.8 % , on routes between Helsinki and the Baltic capitals and within Southern Finland",negative
"Finnish plumbing and heating systems supplier Uponor 's net sales in continuing business operations decreased to EUR 249.1 mn in July-September 2008 , compared to EUR 262.1 mn in the third quarter of 2007",negative
Consolidated pretax profit decreased by 69.2 % to EUR 41.0 mn from EUR 133.1 mn in 2007,negative
"Earnings per share ( EPS ) in the first half of 2007 amounted to EUR0 .29 , down from EUR0 .40 year ago",negative
"Insurer Axa ( PAR : CS ) slid by 5.35 % to EUR 14.15 , after Citigroup and ING slashed their targets on the stock",negative
"( ADP News ) - Feb 11 , 2009 - Finnish wood products technology supplier Raute Oyj ( HEL : RUTAV ) said today its net profit decreased to EUR 4.7 million ( USD 6.1 m ) for 2008 from EUR 6.6 million for 2007",negative
Net sales decreased to EUR 91.6 mn from EUR 109mn in the corresponding period in 2005,negative
Net sales fell by 33 % from the third quarter of 2008 to EUR 130.5 mn,negative
Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006,negative
Operating profit fell to EUR 23.26 mn from EUR 32.86 mn,negative
Operating profit fell to EUR 6.2 mn from EUR 8.5 mn in the third quarter of 2007,negative
Pretax profit decreased by 37 % to EUR 193.1 mn from EUR 305.6 mn,negative
"Pretax profit totaled EUR 9.0 mn , down from EUR 36.3 mn in 2007",negative
Revenue in the quarter fell 8 percent to ( EURO ) 2.4 billion compared to a year earlier,negative
SRV lowered its net sales estimate for the whole of 2008 due to uncertainties in housing sales,negative
The company confirmed its estimate for lower revenue for the whole 2009 than the year-ago EUR93 .9 m as given in the interim report on 5 August 2009,negative
The Department Store Division 's sales fell by 8.6 % to EUR 140.2 mn,negative
"Alma Media 's operating profit amounted to EUR 11.9 mn , down from EUR 15.0 mn a year earlier",negative
Commission income fell to EUR 4.6 mn from EUR 5.1 mn in the corresponding period in 2007,negative
Export declined by 6 percent to 16.4 million liters,negative
"Group EBIT for the first half was EUR13 .6 m US$ 17.8 m , falling short of the EUR22 .5 m it posted for the same period of 2009",negative
"However , the company saw its net profit for the third quarter down to EUR 1.4 million from EUR 1.5 million for the corresponding period of 2009",negative
"In food trade , sales amounted to EUR320 .1 m , a decline of 1.1 %",negative
"Operating profit totaled EUR 9.4 mn , down from EUR 11.7 mn in 2004",negative
"Revenue was slightly down , at  x20ac 495 million $ 634 million , compared to  x20ac 497 million a year earlier",negative
The total capital of funds managed by the bank decreased by 28 % to EUR 284mn by the end of September 2008,negative
"According to the company , in addition to normal seasonal fluctuation the market situation has weakened during autumn 2008",negative
The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative,negative
Sales at the unit slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of 2006-07,negative
"Due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected",negative
"Qualcomm estimated a first-quarter profit between 46 and 50 cents a share , excluding certain items , below the analyst estimate of 61 cents a share",negative
"Operating margin , however , slipped to 14.4 % from 15.1 % , dragged down by a poor performance in enterprise solutions",negative
